id,name,Prefered,alt_names,network,owners,City,country,categories,is_nsfw,launched,closed,replaced_by,website
History.au,History,Y,The History Channel;Fox History,,Foxtel Networks,,AU,documentary,FALSE,1996-01-01,,,http://www.historychannel.com.au/
History.ca,History,Y,,,Corus Entertainment,,CA,documentary,FALSE,1997-10-17,,,https://www.history.ca/
History.us,History,Y,,A+E Networks,A+E Networks,,US,documentary,FALSE,1995-01-01,,,http://www.history.com/
History2.ca,History2,Y,,,Corus Entertainment,,CA,documentary,FALSE,2001-09-07,,,https://www.history.ca/
Investigation.ca,Investigation,Y,,,,,CA,entertainment,FALSE,2013-12-12,,,http://www.investigationtele.com/
InvestigationDiscovery.au,Investigation Discovery,Y,ID,,,,AU,documentary,FALSE,,,,http://www.investigationdiscovery.com/
InvestigationDiscovery.ca,Investigation Discovery,Y,,,Bell Media,,CA,documentary,FALSE,2001-09-07,,,https://www.ctv.ca/investigation-discovery
InvestigationDiscovery.uk,Investigation Discovery,Y,ID UK,,Warner Bros. Discovery EMEA,,UK,documentary,FALSE,2009-01-20,,,http://www.investigationdiscovery.com/
InvestigationDiscovery.us,Investigation Discovery,Y,,,,,US,documentary,FALSE,,,,http://www.investigationdiscovery.com/
IONPlus.us,ION Plus,Y,,,E. W. Scripps Company,,US,entertainment,FALSE,1998-08-31,,,https://iontelevision.com/
IonTV.uk,Ion TV,Y,,,,,UK,general,FALSE,,,,http://www.iontv.co.uk/
IONTV.us,ION TV,Y,,,E. W. Scripps Company,,US,entertainment,FALSE,1998-08-31,,,https://iontelevision.com/
ITV1.uk,ITV1,Y,ITV,ITV,ITV plc,,UK,general,FALSE,1955-09-22,,,https://www.itv.com/hub/itv
ITV2.uk,ITV2,Y,,ITV,ITV plc,,UK,general,FALSE,1998-12-07,,,https://www.itv.com/hub/itv2
ITV3.uk,ITV3,Y,,ITV,ITV plc,,UK,entertainment,FALSE,,,,https://www.itv.com/hub/itv3
ITV4.uk,ITV4,Y,,ITV,ITV plc,,UK,general,FALSE,,,,https://www.itv.com/hub/itv4
KTTVDT1.us,KTTV-DT1,Y,,FOX,Fox Television Stations,"LOS ANGELESÿ, CA",US,general,FALSE,1949-01-01,,,http://www.foxla.com/
LifeStyle.au,LifeStyle,Y,,,,,AU,lifestyle,FALSE,,,,https://www.foxtel.com.au/watch/lifestyle.html
LifestyleFood.au,Lifestyle Food,Y,,,Foxtel Networks,,AU,lifestyle,FALSE,2004-03-14,,,https://www.foxtel.com.au/watch/lifestyle/food.html
LifestyleHome.au,Lifestyle Home,Y,,,Foxtel Networks,,AU,lifestyle,FALSE,2011-03-01,,,https://www.foxtel.com.au/watch/lifestyle/home.html
Max.ca,Max,Y,,,Remstar Media Group,,CA,entertainment,FALSE,1997-09-08,,,https://maxtele.ca/
Movies24.uk,Movies 24,Y,Christmas 24,,NBCUniversal International Networks;Sky UK,,UK,movies,FALSE,2006-06-26,,,https://www.tvmovies24.com/
Movies24Plus.uk,Movies 24 +,Y,Christmas 24 +,,NBCUniversal International Networks;Sky UK,,UK,movies,FALSE,2006-10-16,,,https://www.tvmovies24.com/
MovieTime.ca,MovieTime,Y,,,Corus Entertainment,,CA,movies,FALSE,2008-10-06,,,http://www.movietimetv.ca/
MSNBC.us,MSNBC,Y,,,NBCUniversal News Group,,US,news,FALSE,1996-07-15,,,http://www.msnbc.com/
MTV.uk,MTV,Y,,,Paramount Networks EMEAA,,UK,entertainment,FALSE,,,,http://mtv.co.uk/
NationalGeographic.ca,National Geographic,Y,,,Corus Entertainment,,CA,documentary,FALSE,2001-08-15,,,http://natgeotv.com/ca
NationalGeographic.uk,National Geographic,Y,National Geographic Channel;Nat Geo,,National Geographic Society,,UK,documentary,FALSE,1997-09-01,,,http://natgeotv.com/uk
NationalGeographicWild.ca,National Geographic Wild,Y,,,Corus Entertainment,,CA,documentary,FALSE,2012-05-07,,,http://www.natgeotv.com/ca/wild
NationalGeographicWild.uk,National Geographic Wild,Y,Nat Geo Wild,,National Geographic Global Networks,,UK,documentary,FALSE,2007-03-01,,,http://www.natgeowild.co.uk/
OUTtv.ca,OUTtv,Y,,,OUTtv Media Global Inc,,CA,entertainment,FALSE,2001-09-07,,,https://outtv.ca/
SBS.au,SBS,Y,,,,,AU,,FALSE,,,,https://www.sbs.com.au/guide/channel/SBS
SBSFood.au,SBS Food,Y,,SBS Television,Special Broadcasting Service,,AU,cooking,FALSE,,,,https://www.sbs.com.au/guide/channel/SBSFood
SBSViceland.au,SBS Viceland,Y,,SBS Television,Special Broadcasting Service,,AU,,FALSE,2001-01-01,,,https://www.sbs.com.au/guide/channel/SBSVICELAND
