site,relative,name,xmltv_id,lang,site_id,country,hd_flag,reason
tvguide.com,tvguide.com\tvguide.com.channels.xml,MTV2,MTV2.us@East,en,9200000872,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,National Geographic,NationalGeographic.us@East,en,9233002310,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,National Geographic Wild,NationalGeographicWild.us@East,en,9200004683,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,OWN,OWN.us@East,en,9200002736,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Paramount Network,ParamountNetwork.us@East,en,9233013810,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Paramount+ with Showtime,Showtime.us@East,en,9200016599,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Science,Science.us@East,en,9200019847,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,SHOWTIME 2,Showtime2.us@East,en,9200018178,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,SHOWTIME EXTREME,ShowtimeExtreme.us@East,en,9200004879,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,SHOWTIME NEXT,ShowtimeNext.us@East,en,9200016686,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,SHOWTIME SHOWCASE,ShowtimeShowcase.us@East,en,9233003805,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,Smithsonian,SmithsonianChannel.us@East,en,9233002112,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,STARZ,Starz.us@East,en,9233013809,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,STARZ Cinema,StarzCinema.us@East,en,9233008357,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,STARZ Edge,StarzEdge.us@East,en,9233011247,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,STARZ ENCORE,StarzEncore.us@East,en,9200009649,NAN,SD,manual_override_step2;was:country_out_of_scope
tvguide.com,tvguide.com\tvguide.com.channels.xml,STARZ ENCORE Action,StarzEncoreAction.us@East,en,9233005667,NAN,SD,manual_override_step2;was:country_out_of_scope
