"site","relative","name","xmltv_id","lang","site_id","country","hd_flag"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#7TWO","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#9","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#9HD","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#7flix","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#9Rush","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#10","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#11","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#ABC1","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#ABC2","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#9Life","AU","SD"
"abc.net.au","abc.net.au\abc.net.au_syd.channels.xml","channel","","en","Sydney#ABC3","AU","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","369#369","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","370#422","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","371#371","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","372#394","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","373#373","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","376#3144","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","375#375","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","377#377","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","378#378","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","379#6071","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","368#8479","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","380#401","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","374#374","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","367#321","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","361#6067","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","es","365#1579","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","364#364","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","364#359","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","363#3775","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","362#8253","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","362#362","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","360#3474","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","360#360","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","359#8394","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","359#3142","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","358#2601","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","357#357","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","381#4707","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","366#306","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","382#8445","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","396#4239","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","en","384#8446","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","es","405#8373","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","es","405#5540","","SD"
"directv.com","directv.com\directv.com.channels.xml","channel","","es","404#8031","","SD"
