"site","relative","name","xmltv_id","lang","site_id","country","hd_flag","norm_name"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV1 S East +1","","en","itv-1-south-east","UK","SD","itv1seast1"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV +1 (West Country)","","en","itv-1-west-country","UK","SD","itv1westcountry"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Anglia East HD","","en","itv-anglia-east-hd","UK","HD","itvangliaeasthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Anglia West HD","","en","itv-anglia-west-hd","UK","HD","itvangliawesthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Audio Desc","","en","itv-audio-desc","UK","SD","itvaudiodesc"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV BE","ITVBe.uk@SD","en","itv-be","UK","SD","itvbe"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Be HD","","en","itv-be-hd","UK","HD","itvbehd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Border (England) HD","","en","itv-border-england-hd","UK","HD","itvborderenglandhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Central East HD","","en","itv-central-east-hd","UK","HD","itvcentraleasthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Central West HD","","en","itv-central-west-hd","UK","HD","itvcentralwesthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Granada HD","","en","itv-granada-hd","UK","HD","itvgranadahd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Meridian South HD","","en","itv-meridan-south-hd","UK","HD","itvmeridiansouthhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Meridian North HD","","en","itv-meridian-north-hd","UK","HD","itvmeridiannorthhd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Meridian South East HD","","en","itv-meridian-south-east-hd","UK","HD","itvmeridiansoutheasthd"
"tv24.co.uk","tv24.co.uk\tv24.co.uk.channels.xml","ITV Tyne Tees HD","","en","itv-tyne-tees-hd","UK","HD","itvtyneteeshd"
